Date,Rank,State,Output
2004-03-15T12:45:32Z,E,NH,211.813359
2004-03-15T20:50:02Z,F,MO,210.2188578
2004-03-16T05:46:43Z,E,MT,210.9157927
2004-03-16T22:19:24Z,D,LA,209.3553032
2004-03-17T05:01:51Z,D,MD,205.6534115
2004-03-17T13:41:21Z,E,ME,209.5375693
2004-03-18T11:15:52Z,C,KY,209.2538717
2004-03-18T14:37:31Z,B,MO,202.5307558
2004-03-19T06:36:45Z,B,VT,200.7476075
2004-03-19T12:50:19Z,C,RI,211.191783
2004-03-19T22:26:11Z,B,VA,202.3850097
2004-03-20T06:42:13Z,F,HI,211.9479356
2004-03-20T13:48:01Z,F,WV,208.7078606
2004-03-21T09:45:47Z,B,PA,210.2725378
2004-03-22T00:01:26Z,D,WI,212.7650672
2004-03-22T11:23:16Z,B,NH,208.0282359
2004-03-22T22:59:33Z,E,MI,209.3897805
2004-03-23T10:55:42Z,A,KS,202.4640112
2004-03-23T12:03:07Z,F,AZ,207.2952473
2004-03-24T05:14:25Z,F,AK,214.2369687
2004-03-24T10:55:53Z,D,TN,201.8984444
2004-03-24T21:34:36Z,B,MI,203.8078425
2004-03-25T04:14:11Z,A,IA,203.906604
2004-03-25T19:48:14Z,A,ME,204.7208861
2004-03-26T09:09:56Z,F,AZ,208.3798205
2004-03-26T18:36:10Z,E,DE,214.601076
2004-03-26T21:27:10Z,C,RI,210.3394647
2004-03-27T13:51:39Z,E,MN,211.6676751
2004-03-28T04:26:14Z,B,OH,209.7331897
2004-03-28T18:25:35Z,A,MN,207.8622326
2004-03-28T22:19:21Z,A,IA,201.7310425
2004-03-29T11:28:53Z,B,ND,204.2315077
2004-03-30T06:21:00Z,A,DE,208.3761276
2004-03-30T09:29:33Z,C,NY,211.1536141
2004-03-31T06:22:57Z,A,PA,208.6301903
2004-03-31T19:26:33Z,C,HI,208.0799797
2004-03-31T21:30:22Z,B,VA,200.3968107
2004-04-01T20:40:13Z,D,ND,205.5273183
2004-04-02T00:03:12Z,C,AZ,203.4629439
2004-04-02T20:17:28Z,F,MS,213.392456
2004-04-03T15:39:28Z,B,RI,212.514575
2004-04-04T11:14:35Z,D,MN,211.026167
2004-04-04T20:26:36Z,A,DE,208.9933765
2004-04-05T13:10:34Z,C,NE,208.3288282
2004-04-06T09:50:20Z,C,MT,209.2400965
2004-04-06T10:32:17Z,A,KS,203.7366411
2004-04-07T00:44:34Z,D,MD,207.9194248
2004-04-07T06:51:30Z,E,WV,208.1002999
2004-04-07T12:19:43Z,C,MA,206.4096927
2004-04-07T12:41:45Z,A,MN,208.3945721
2004-04-07T15:18:22Z,E,OR,206.0811059
2004-04-07T15:48:19Z,D,MD,208.4999939
2004-04-07T18:56:52Z,C,MI,207.2242407
2004-04-07T20:38:45Z,A,RI,210.8464966
2004-04-08T06:29:06Z,C,WA,206.1758054
2004-04-08T10:07:00Z,C,IL,203.0118238
2004-04-08T21:04:37Z,F,NV,215.4683066
2004-04-09T06:52:41Z,A,RI,208.6594911
2004-04-09T18:28:34Z,D,HI,208.34904
2004-04-09T23:30:35Z,A,DE,209.3597327
2004-04-10T17:10:27Z,C,NV,213.3347268
2004-04-11T04:45:30Z,C,NM,203.7637756
2004-04-11T06:05:28Z,B,NJ,200.8285055
2004-04-11T08:52:28Z,D,NE,209.3051559
2004-04-11T12:48:48Z,E,NH,214.4463255
2004-04-11T21:46:36Z,C,MN,209.0471332
2004-04-12T14:18:02Z,A,NH,206.5220263
2004-04-13T12:56:01Z,E,WV,207.6868162
2004-04-14T12:10:05Z,F,AR,207.4447008
2004-04-14T12:32:59Z,D,MD,208.6311834
2004-04-15T05:09:38Z,F,PA,213.8908357
2004-04-15T20:19:58Z,F,IA,210.2954192
2004-04-16T15:11:24Z,F,WV,208.6377254
2004-04-17T04:52:05Z,F,MD,210.3012949
2004-04-17T18:13:59Z,F,OR,208.2614046
2004-04-18T15:20:57Z,D,AK,210.3593095
2004-04-18T19:45:34Z,E,SD,207.9926298
2004-04-19T04:02:18Z,A,AL,202.1868232
2004-04-19T04:55:47Z,D,DE,212.3720551
2004-04-19T08:07:28Z,D,KY,209.9110907
2004-04-19T15:10:36Z,B,IL,200.2493533
2004-04-19T21:30:02Z,E,NJ,203.731395
2004-04-20T14:59:55Z,E,KS,204.9653483
2004-04-21T12:20:06Z,F,NY,211.9976569
2004-04-21T12:45:26Z,F,AZ,208.6986617
2004-04-22T01:20:53Z,C,PA,212.6810839
2004-04-23T00:17:10Z,E,NH,212.952897
2004-04-23T00:24:53Z,C,OH,212.6127708
2004-04-23T01:48:29Z,D,LA,208.9284039
2004-04-23T12:50:23Z,C,AZ,204.1917467
2004-04-23T23:47:11Z,C,MN,210.695314
2004-04-24T20:16:41Z,E,OH,212.3961525
2004-04-25T03:55:41Z,B,FL,209.0161385
2004-04-26T01:44:26Z,A,MS,207.523146
2004-04-26T03:01:39Z,E,TN,204.238973
2004-04-26T15:18:16Z,F,GA,215.0392725
2004-04-26T21:37:04Z,B,MD,204.8875406
2004-04-26T21:57:36Z,C,LA,207.6676525
2004-04-27T10:13:16Z,D,ID,213.0387945
2004-04-28T01:45:03Z,B,TX,204.5594626
2004-04-28T05:21:50Z,D,WA,207.7582695
2004-04-28T05:38:19Z,B,UT,199.7058039
2004-04-28T19:26:38Z,C,ME,207.6952652
2004-04-29T02:46:14Z,D,FL,209.1844466
2004-04-29T02:51:13Z,E,MD,210.2767444
2004-04-29T08:36:07Z,B,IA,204.7984522
2004-04-29T20:17:12Z,A,NV,210.445973
2004-04-30T15:54:07Z,C,IL,203.2520117
2004-05-01T06:49:24Z,D,CO,205.922484
2004-05-01T18:40:13Z,F,NV,213.607304
2004-05-02T04:27:56Z,C,AR,201.5392844
2004-05-02T18:45:44Z,C,HI,209.5362549
2004-05-03T02:53:18Z,D,RI,212.7784121
2004-05-03T12:45:26Z,C,CT,207.8203127
2004-05-04T00:06:31Z,B,IA,204.8012616
2004-05-04T23:10:01Z,F,LA,210.8149515
2004-05-05T09:57:42Z,A,WA,205.0268538
2004-05-05T10:17:54Z,F,MN,212.5760178
2004-05-05T16:51:17Z,F,MO,207.7012407
2004-05-06T08:45:15Z,D,MT,210.4321418
2004-05-07T04:43:33Z,B,VA,201.6428329
2004-05-07T05:38:19Z,F,MN,213.7725557
2004-05-08T00:44:01Z,E,WY,208.3755724
2004-05-08T21:43:55Z,F,NC,208.8446549
2004-05-09T07:06:06Z,C,AR,201.1380141
2004-05-09T20:03:15Z,A,KY,207.5640971
2004-05-09T23:03:32Z,A,CO,200.6541667
2004-05-10T02:38:39Z,F,TX,205.6079717
2004-05-10T10:01:58Z,D,WI,214.0448444
2004-05-10T14:23:25Z,F,ND,207.8566367
2004-05-10T17:57:42Z,F,AZ,208.4326481
2004-05-10T21:57:42Z,C,FL,207.6202352
2004-05-11T18:26:05Z,B,SC,207.7491764
2004-05-12T03:37:43Z,F,ND,206.9769814
2004-05-12T07:23:39Z,A,VT,199.1237589
2004-05-13T06:29:32Z,A,TN,198.4906772
2004-05-13T19:34:28Z,C,NY,211.6701242
2004-05-14T19:01:51Z,D,VT,203.2658295
2004-05-14T19:59:14Z,F,CO,207.0165639
2004-05-14T21:56:37Z,B,PA,210.6822962
2004-05-15T19:10:37Z,F,TN,203.7333618
2004-05-15T21:01:55Z,B,RI,211.6421259
2004-05-16T12:42:33Z,C,MN,210.5431311
2004-05-16T20:49:20Z,C,HI,208.1753005
2004-05-17T04:19:06Z,D,HI,211.4132735
2004-05-18T00:53:46Z,D,CA,207.7287986
2004-05-18T11:27:29Z,F,AK,215.6631513
2004-05-18T15:39:31Z,E,OK,209.9476121
2004-05-19T04:58:54Z,A,AR,200.2276733
2004-05-19T09:08:08Z,A,WI,210.6270916
2004-05-19T09:42:26Z,F,VA,205.4106338
2004-05-19T21:54:58Z,E,ND,206.9556247
2004-05-19T22:10:06Z,A,MN,207.5546338
2004-05-20T01:36:55Z,F,SD,208.4550115
2004-05-20T14:24:26Z,D,VT,202.6584364
2004-05-21T09:33:32Z,A,RI,209.3816186
2004-05-21T17:23:57Z,D,IL,204.9291332
2004-05-22T09:26:24Z,C,UT,203.3260548
2004-05-22T18:28:42Z,A,AZ,202.2385037
2004-05-23T04:58:15Z,E,AK,213.3769903
2004-05-23T05:44:46Z,A,NY,207.2896128
2004-05-23T09:11:38Z,F,RI,214.7322204
2004-05-23T15:56:03Z,E,CT,213.0330715
2004-05-23T19:03:40Z,C,RI,211.712045
2004-05-24T16:39:30Z,E,MS,213.714932
2004-05-25T14:20:45Z,A,PA,211.078954
2004-05-26T14:12:22Z,B,IL,202.3857649
2004-05-26T22:53:04Z,B,FL,206.7723902
2004-05-27T07:05:44Z,B,IL,202.8729194
2004-05-27T21:46:01Z,F,MI,207.0445191
2004-05-28T14:47:35Z,D,CA,207.9323568
2004-05-29T06:41:36Z,C,HI,208.7332533
2004-05-29T07:41:16Z,F,TN,206.4801271
2004-05-29T23:03:30Z,E,WV,207.1899654
2004-05-30T12:49:53Z,B,ID,209.368579
2004-05-30T22:53:51Z,E,IA,206.7712464
2004-05-31T17:34:14Z,F,MA,209.2180198
2004-06-01T03:22:16Z,E,MT,211.0346618
2004-06-01T23:38:18Z,B,IL,203.3827114
2004-06-02T00:13:40Z,A,WY,206.7791035
2004-06-02T17:39:15Z,F,NC,212.3666475
2004-06-02T19:12:51Z,B,WA,207.1374222
2004-06-03T07:43:45Z,E,VT,203.106412
2004-06-04T06:46:30Z,E,UT,202.6457189
2004-06-04T13:47:03Z,B,MA,205.3192349
2004-06-04T23:00:53Z,D,OR,206.7918315
2004-06-05T08:49:23Z,E,FL,213.2440591
2004-06-05T11:44:17Z,F,OR,205.2871513
2004-06-05T19:40:02Z,A,IL,199.6347256
2004-06-06T02:06:44Z,C,AZ,203.5999511
2004-06-06T10:50:58Z,B,MI,205.7656228
2004-06-06T17:57:34Z,A,TX,202.1444787
2004-06-07T09:59:28Z,B,OK,207.4925075
2004-06-07T12:17:31Z,D,GA,213.1843281
2004-06-07T15:35:27Z,C,CT,208.8810366
2004-06-08T01:16:30Z,E,AR,204.2112449
2004-06-08T15:11:21Z,E,NV,215.6582441
2004-06-08T23:47:18Z,D,CA,206.2592739
2004-06-09T14:06:25Z,C,WA,209.4086573
2004-06-10T01:11:13Z,D,GA,210.1096704
2004-06-10T10:27:16Z,A,MD,206.1291707
2004-06-11T00:23:41Z,F,NC,212.6917783
2004-06-11T12:33:14Z,C,DE,213.0751232
2004-06-12T08:29:27Z,C,OH,209.5715251
2004-06-12T17:42:58Z,F,VT,203.9712937
2004-06-13T17:41:26Z,B,WA,205.7813449
2004-06-13T19:30:43Z,F,MN,210.9212046
2004-06-14T13:21:18Z,E,NJ,201.9168964
2004-06-15T02:09:24Z,D,WI,213.1053996
2004-06-15T06:24:04Z,C,GA,208.6060114
2004-06-15T11:47:21Z,A,TX,199.935304
2004-06-15T20:29:08Z,F,NM,205.2287756
2004-06-15T21:07:06Z,A,MI,202.4946631
2004-06-16T05:51:37Z,C,MN,210.8744252
2004-06-16T23:05:15Z,A,KY,207.5213198
2004-06-17T11:18:08Z,F,MN,214.0590939
2004-06-18T02:44:01Z,E,KS,205.4379966
2004-06-18T12:19:50Z,D,OH,212.9777085
2004-06-19T02:46:10Z,A,PA,210.945941
2004-06-19T10:13:55Z,D,MD,206.1392897
2004-06-20T02:33:56Z,B,RI,210.9728853
2004-06-20T16:59:43Z,A,MS,208.2499491
2004-06-21T03:46:37Z,E,MS,212.6746863
2004-06-21T18:53:42Z,E,NY,212.2260375
2004-06-22T14:40:48Z,B,DE,211.8177484
2004-06-23T01:23:16Z,B,IL,202.8686094
2004-06-24T01:10:15Z,F,HI,213.1429565
2004-06-24T20:46:31Z,D,LA,208.8816234
2004-06-25T02:36:31Z,B,WA,207.8169929
2004-06-25T19:26:40Z,D,WV,208.8851879
2004-06-26T05:43:24Z,C,MD,205.3934759
2004-06-26T14:38:31Z,D,KY,209.9243981
2004-06-27T11:10:50Z,B,CO,201.4409075
2004-06-28T06:21:15Z,D,OR,204.6165674
2004-06-28T15:22:36Z,F,WI,214.5347498
2004-06-29T08:29:08Z,F,FL,211.8366193
2004-06-30T05:32:25Z,F,KS,208.6581841
2004-06-30T08:59:52Z,E,SD,206.7245453
2004-06-30T19:34:26Z,B,MA,208.9519627
2004-07-01T05:11:12Z,F,KY,212.0727916
2004-07-01T17:02:20Z,D,AZ,204.2897543
2004-07-02T09:33:06Z,D,AZ,203.7155177
2004-07-02T20:37:20Z,B,WY,206.2005102
2004-07-03T15:47:03Z,B,TN,201.0809162
2004-07-04T06:13:58Z,F,ME,208.0976742
2004-07-05T05:20:58Z,C,AZ,203.8947299
2004-07-06T02:12:56Z,A,VA,198.1889372
2004-07-07T00:35:04Z,E,MN,212.3403115
2004-07-07T10:04:13Z,D,OR,205.3765344
2004-07-07T21:45:05Z,F,NY,213.9831145
2004-07-08T05:28:08Z,D,NH,210.5038142
2004-07-08T08:08:20Z,B,AK,209.2391684
2004-07-09T05:47:10Z,D,OK,210.7920299
2004-07-09T20:52:18Z,E,IL,206.5215596
2004-07-10T15:41:08Z,E,CA,208.2539652
2004-07-11T11:14:36Z,F,CT,213.5436222
2004-07-11T21:50:02Z,F,KS,206.2561459
2004-07-11T23:55:29Z,E,PA,215.2175381
2004-07-12T03:06:10Z,B,SC,208.5873698
2004-07-13T02:33:00Z,E,WI,215.3897364
2004-07-13T05:24:31Z,C,ND,207.4614974
2004-07-13T19:46:59Z,A,MI,205.1127
2004-07-14T00:49:28Z,C,ND,204.7896815
2004-07-14T02:49:41Z,A,RI,209.4447738
2004-07-14T21:00:13Z,B,WI,210.9899227
2004-07-15T03:42:21Z,D,NC,207.3659839
2004-07-15T05:06:10Z,D,CA,208.8819969
2004-07-15T23:32:12Z,B,LA,206.7553672
2004-07-16T07:11:57Z,E,SC,209.9563894
2004-07-16T15:34:33Z,A,MN,206.163525
2004-07-17T10:07:50Z,C,WA,208.331294
2004-07-17T13:25:29Z,A,MI,203.6747079
2004-07-18T01:50:51Z,C,NC,208.1860719
2004-07-18T07:38:45Z,D,UT,203.682624
2004-07-19T01:15:22Z,B,WV,205.4557955
2004-07-19T19:48:52Z,C,CA,205.00249
2004-07-20T00:14:32Z,D,MS,212.7066621
2004-07-20T04:01:39Z,C,NV,211.7870446
2004-07-20T13:38:20Z,F,SD,209.2191593
2004-07-21T12:44:11Z,D,NH,210.4327881
2004-07-21T19:02:59Z,B,KY,209.8716971
2004-07-22T18:22:34Z,D,CT,210.7271409
2004-07-22T19:13:12Z,B,TX,203.6530198
2004-07-23T00:46:20Z,B,NE,205.8456041
2004-07-23T13:44:56Z,E,AR,207.1733342
2004-07-23T22:04:04Z,A,VT,201.3754563
2004-07-24T01:20:53Z,B,ND,205.5866627
2004-07-24T05:02:42Z,E,VT,205.2261052
2004-07-24T20:59:06Z,C,TX,203.2950368
2004-07-25T06:32:59Z,E,MS,211.6201135
2004-07-25T23:34:21Z,C,MS,210.3771291
2004-07-26T21:21:51Z,B,UT,201.6719756
2004-07-27T11:20:12Z,E,MT,212.5809492
2004-07-28T07:52:15Z,E,ND,209.9723029
2004-07-28T16:34:29Z,D,WY,207.1731709
2004-07-28T20:07:55Z,C,AK,211.3573453
2004-07-29T17:36:52Z,C,NY,210.3517998
2004-07-30T05:56:55Z,C,AR,203.6787689
2004-07-30T20:57:24Z,D,KS,205.2331714
2004-07-31T09:36:25Z,D,KS,206.2176997
2004-07-31T23:05:30Z,D,WA,208.3486502
2004-08-01T03:42:49Z,C,MD,205.8806996
2004-08-01T11:52:25Z,D,SD,204.0899415
2004-08-02T05:04:20Z,B,SC,210.6697373
2004-08-02T10:00:34Z,D,PA,211.8759751
2004-08-03T04:52:46Z,A,VT,201.1700726
2004-08-03T14:55:18Z,A,OK,206.894709
2004-08-04T09:58:38Z,A,AK,208.154091
2004-08-05T09:48:31Z,A,MD,205.2271117
2004-08-06T09:47:15Z,B,NV,213.3272137
2004-08-07T03:23:58Z,B,FL,208.506399
2004-08-07T04:21:45Z,B,GA,209.7100663
2004-08-07T19:03:19Z,F,OH,213.7295107
2004-08-07T23:30:12Z,D,OR,206.7692107
2004-08-08T15:09:09Z,F,NH,214.1538047
2004-08-09T07:12:10Z,F,WV,208.3876849
2004-08-10T05:37:19Z,D,OH,212.1284445
2004-08-10T06:00:23Z,D,GA,213.3914166
2004-08-11T01:42:54Z,E,SC,213.267484
2004-08-11T21:53:21Z,F,OK,213.8050042
2004-08-12T06:27:00Z,F,VA,204.9377469
2004-08-12T08:56:46Z,E,ME,207.0465729
2004-08-12T19:08:04Z,B,CO,202.5943877
2004-08-13T09:59:51Z,E,DE,214.1749179
2004-08-13T11:35:39Z,A,WV,204.0570368
2004-08-13T23:07:36Z,D,NC,208.781101
2004-08-14T06:21:00Z,D,MN,212.2342954
2004-08-14T22:49:56Z,E,TN,202.8146364
2004-08-15T10:47:18Z,F,MT,211.555175
2004-08-16T01:21:45Z,A,NV,209.8310277
2004-08-16T11:23:44Z,B,CO,201.6022207
2004-08-17T01:59:15Z,E,WY,208.2632849
2004-08-17T04:08:48Z,E,NJ,202.2468975
2004-08-17T08:37:48Z,E,VT,205.6743728
2004-08-18T01:49:48Z,E,MN,213.4413022
2004-08-18T15:35:35Z,B,MS,210.3653147
2004-08-19T05:08:30Z,B,NE,208.8321264
2004-08-20T04:07:37Z,F,CA,209.8453316
2004-08-21T00:25:46Z,C,SD,205.7965984
2004-08-21T02:37:30Z,B,MT,209.0103555
2004-08-21T14:14:56Z,E,KS,205.5128989
2004-08-22T12:05:41Z,F,SD,207.9416866
2004-08-22T16:16:31Z,E,SC,212.0356742
2004-08-23T15:50:05Z,F,KY,212.3683158
2004-08-24T04:07:59Z,A,RI,209.2207087
2004-08-24T18:06:30Z,B,WI,210.6466387
2004-08-24T23:23:30Z,F,SD,207.2822045
2004-08-25T04:36:03Z,C,MS,212.0764543
2004-08-25T08:17:16Z,A,CT,207.6103138
2004-08-25T22:26:53Z,E,HI,209.5555628
2004-08-26T22:06:04Z,F,AZ,207.4002138
2004-08-27T08:26:58Z,C,MT,208.9933409
2004-08-27T10:19:41Z,B,NY,209.6603065
2004-08-27T15:31:41Z,D,AK,212.0465264
2004-08-28T00:11:40Z,A,ID,209.4844777
2004-08-28T01:56:18Z,C,VT,202.9924195
2004-08-28T18:27:08Z,E,OR,207.7509176
2004-08-29T08:35:03Z,F,WI,213.8109788
2004-08-30T04:38:49Z,E,RI,213.5546774
2004-08-30T10:05:06Z,C,KS,205.5615621
2004-08-31T00:43:14Z,A,SD,204.67548
2004-08-31T22:10:35Z,D,NY,212.6907058
2004-09-01T09:08:47Z,F,LA,210.3442771
2004-09-01T10:11:33Z,B,NC,205.0673303
2004-09-01T15:22:45Z,B,NH,211.3837621
2004-09-01T21:53:50Z,A,FL,209.7242858
2004-09-02T01:27:33Z,A,PA,209.4990261
2004-09-02T23:32:41Z,B,WY,208.7867326
2004-09-03T18:45:32Z,A,LA,206.9748336
2004-09-04T15:23:46Z,A,GA,209.0246271
2004-09-05T08:02:08Z,F,CO,209.3730028
2004-09-05T11:36:58Z,D,GA,211.8378344
2004-09-06T11:32:21Z,F,HI,213.5050221
2004-09-07T06:36:02Z,E,OK,212.1244578
2004-09-08T05:57:33Z,C,AZ,203.3068241
2004-09-08T07:30:39Z,C,MD,205.9672087
2004-09-09T00:19:30Z,B,WA,208.2415185
2004-09-09T18:36:09Z,F,ND,209.59318
2004-09-10T01:35:36Z,B,OH,210.9139183
2004-09-10T07:49:46Z,E,ME,209.5361668
2004-09-10T10:29:23Z,C,KS,206.5338054
2004-09-10T17:44:19Z,D,ID,211.443639
2004-09-10T20:15:50Z,E,VA,206.3764033
2004-09-10T20:46:19Z,D,UT,205.0487727
2004-09-11T16:48:55Z,F,IL,207.521651
2004-09-11T21:30:00Z,A,VA,199.9884778
2004-09-12T12:35:51Z,D,ME,209.1691808
2004-09-13T01:39:46Z,C,CA,207.1915179
2004-09-13T10:28:08Z,F,IL,206.5646807
2004-09-14T00:50:31Z,E,FL,211.9212602
2004-09-14T11:34:29Z,E,VA,203.7664834
2004-09-15T09:21:00Z,B,RI,209.9097163
2004-09-16T08:23:50Z,F,KY,212.4875565
2004-09-16T19:22:45Z,C,MO,205.2888217
2004-09-17T03:16:07Z,B,ND,205.7091938
2004-09-17T20:36:16Z,D,AK,212.7099788
2004-09-18T18:12:01Z,C,CO,205.0404361
2004-09-19T15:18:41Z,E,AZ,207.8463731
2004-09-20T15:16:37Z,A,CT,206.410946
2004-09-21T00:43:22Z,D,OH,211.6357233
2004-09-21T23:31:58Z,A,MS,206.9105803
2004-09-22T12:39:34Z,B,VA,202.0904625
2004-09-22T16:39:01Z,B,WV,205.2651239
2004-09-22T21:06:27Z,F,ND,211.5386386
2004-09-23T12:17:50Z,A,GA,207.3735209
2004-09-24T07:31:57Z,C,MA,208.6503182
2004-09-24T12:54:49Z,C,MN,209.7787788
2004-09-24T16:04:30Z,E,OR,207.5548204
2004-09-24T22:22:11Z,C,NM,205.0461432
2004-09-25T17:52:24Z,A,SD,204.8829405
2004-09-26T12:50:43Z,C,KS,204.144741
2004-09-26T16:11:11Z,B,PA,210.4436383
2004-09-27T10:24:39Z,E,WA,209.9962449
2004-09-27T21:49:18Z,E,RI,212.9068549
2004-09-28T01:24:34Z,F,AL,207.1554839
2004-09-28T20:14:54Z,A,MI,202.6661017
2004-09-29T09:31:40Z,B,AZ,204.249885
2004-09-29T10:18:49Z,A,OR,203.1779833
2004-09-29T10:48:26Z,E,FL,210.2075257
2004-09-30T05:48:23Z,C,AZ,204.7577751
2004-09-30T10:49:18Z,E,PA,217.0526661
2004-09-30T21:33:43Z,D,PA,212.0850289
2004-10-01T13:34:36Z,C,NC,210.2820927
2004-10-02T09:47:55Z,F,ME,211.8386706
2004-10-02T18:23:27Z,B,NV,213.7416139
2004-10-03T12:30:25Z,C,VT,203.8023255
2004-10-04T11:04:47Z,A,WY,207.7384174
2004-10-05T03:31:18Z,D,IA,206.1717551
2004-10-05T18:29:40Z,C,WA,210.2662491
2004-10-06T15:25:00Z,B,MO,203.5092227
2004-10-06T20:37:44Z,A,ME,204.5371364
2004-10-07T02:48:27Z,B,MN,209.3819607
2004-10-08T01:22:14Z,A,NH,210.3813015
2004-10-08T06:55:05Z,E,MA,209.8382514
2004-10-08T19:11:49Z,A,SD,202.2136962
2004-10-09T08:33:34Z,D,NE,210.5556458
2004-10-09T15:48:42Z,B,NH,209.5798484
2004-10-09T22:42:59Z,E,HI,210.6001259
2004-10-10T10:33:11Z,C,AK,211.2709704
2004-10-11T10:24:17Z,E,FL,213.822472
2004-10-11T18:38:13Z,B,ND,204.130576
2004-10-12T14:18:48Z,D,HI,209.1020547
2004-10-13T07:20:44Z,C,WA,209.6763509
2004-10-14T01:29:44Z,B,UT,199.6638959
2004-10-14T20:23:49Z,A,UT,200.2877117
2004-10-14T21:52:00Z,A,OH,209.5466166
2004-10-15T18:44:16Z,F,AZ,208.8693185
2004-10-15T22:13:37Z,E,AK,213.7777348
2004-10-16T02:48:18Z,B,CA,207.1256298
2004-10-16T07:58:19Z,E,DE,212.2604591
2004-10-16T21:07:06Z,B,LA,206.1102382
2004-10-16T23:48:25Z,F,IA,208.4891285
2004-10-17T04:51:31Z,F,AZ,207.4955672
2004-10-17T20:31:10Z,C,AK,210.4204921
2004-10-18T13:54:38Z,A,CA,205.9395922
2004-10-19T05:44:57Z,D,DE,211.2746644
2004-10-19T12:53:25Z,A,KY,210.1412725
2004-10-19T15:41:55Z,C,NY,212.3039555
2004-10-19T21:16:51Z,C,MT,210.2289588
2004-10-20T05:30:44Z,F,PA,217.3075666
2004-10-20T15:46:32Z,C,NV,213.6877016
2004-10-20T18:46:03Z,D,KS,206.6097521
2004-10-20T20:10:42Z,C,OR,204.3563997
2004-10-20T20:55:51Z,E,IL,204.143078
2004-10-21T05:57:56Z,E,DE,213.2461678
2004-10-21T12:43:28Z,A,NC,204.3894649
2004-10-21T18:14:47Z,C,DE,212.4522151
2004-10-22T02:00:54Z,C,MA,208.3474457
2004-10-23T00:00:26Z,F,NC,213.0544768
2004-10-23T22:24:05Z,F,RI,215.806426
2004-10-24T15:14:56Z,E,WV,210.1968421
2004-10-25T00:05:01Z,A,NJ,199.837186
2004-10-25T15:39:41Z,E,ME,209.695702
2004-10-26T07:49:40Z,A,AK,211.1108766
2004-10-26T18:20:20Z,E,AL,208.566902
2004-10-27T08:24:08Z,E,MS,214.3230468
2004-10-28T07:40:59Z,E,DE,213.5919207
2004-10-28T12:41:18Z,D,NY,211.0544926
2004-10-28T20:30:29Z,C,TN,204.1856582
2004-10-29T14:38:48Z,E,MN,211.6305888
2004-10-29T16:35:15Z,A,UT,198.6916642
2004-10-30T06:06:53Z,C,VT,203.4061832
2004-10-30T09:05:59Z,A,IA,204.3906458
2004-10-31T03:36:13Z,A,GA,209.9377867
2004-11-01T02:20:38Z,D,TN,203.4155778
2004-11-01T20:16:28Z,E,PA,216.1108433
2004-11-02T09:08:13Z,D,ND,207.529972
2004-11-02T18:50:46Z,B,CA,206.8229965
2004-11-02T19:54:57Z,A,WY,207.9379457
2004-11-03T19:39:43Z,E,WI,214.7441233
2004-11-04T06:00:50Z,E,GA,214.083508
2004-11-05T02:23:48Z,F,MS,214.3174854
2004-11-05T19:08:06Z,E,TN,203.2675047
2004-11-05T21:17:28Z,D,AL,206.8634069
2004-11-05T21:52:50Z,B,CO,202.3064394
2004-11-06T17:05:09Z,D,TX,205.2686474
2004-11-07T14:11:37Z,C,HI,210.5283381
2004-11-07T18:25:39Z,B,ID,212.8541861
2004-11-08T09:48:51Z,B,WY,208.2398522
